"Symbol","Description","Percentage Below 52 Week High","Price","Average Volume (10 Day)"
"CSIQ","Canadian Solar Inc","2.92%","$33.58","9,664,820"
"XEL","Xcel Energy Inc","2.93%","$80.58","5,171,830"
"PHG","Koninklijke Philips NV","2.95%","$28.67","1,030,960"
"BP","BP PLC","2.95%","$36.53","7,777,040"
"POR","Portland General Electric Co","2.98%","$49.43","1,560,640"
"MPLX","MPLX LP","3.03%","$53.21","2,242,340"
"MMM","3M Co","3.05%","$167.58","3,146,150"
"ATO","Atmos Energy Corp","3.06%","$175.12","1,074,100"
"WPC","WP Carey Inc","3.08%","$67.64","1,325,840"
"GSK","GSK plc","3.09%","$47.18","4,455,480"
"D","Dominion Energy Inc","3.13%","$60.56","5,054,550"
"VOD","Vodafone Group PLC","3.15%","$12.32","5,950,750"
"BKH","Black Hills Corp","3.16%","$69.94","1,461,580"
"RTX","RTX Corp","3.17%","$175.57","3,702,120"
"HOUS","Anywhere Real Estate Inc","3.17%","$12.52","2,610,160"
"XOM","Exxon Mobil Corp","3.18%","$119.29","15,022,490"
"APG","APi Group Corp","3.19%","$37.35","3,374,000"
"IMAX","Imax Corp","3.21%","$35.00","1,548,250"
"TERN","Terns Pharmaceuticals Inc","3.22%","$22.56","7,421,230"
"GM","General Motors Co","3.22%","$70.52","8,106,190"
"CMS","CMS Energy Corp","3.28%","$73.94","3,280,560"
"IQV","IQVIA Holdings Inc","3.29%","$220.61","1,594,130"
"MGA","Magna International Inc","3.31%","$49.09","1,692,710"
"MFC","Manulife Financial Corp","3.39%","$34.36","2,278,280"
"SAN","Banco Santander SA","3.41%","$10.75","3,284,410"
"BWA","Borgwarner Inc","3.43%","$44.80","2,364,750"
"NVRI","Enviri Corp","3.46%","$13.38","1,963,740"
"LNT","Alliant Energy Corp","3.47%","$67.33","2,570,870"
"ALB","Albemarle Corp","3.47%","$115.14","4,195,920"
"MDT","Medtronic PLC","3.52%","$95.87","6,255,700"
"CTRE","CareTrust REIT Inc","3.52%","$35.88","1,983,900"
"ROL","Rollins Inc","3.53%","$58.22","4,019,450"
"FOXA","Fox Corp","3.53%","$64.84","3,758,860"
"BG","Bunge Global SA","3.56%","$96.01","1,678,030"
"NLY","Annaly Capital Management Inc","3.56%","$21.65","6,766,960"
"ETR","Entergy Corp","3.58%","$95.05","2,473,510"
"EVRG","Evergy Inc","3.59%","$76.47","2,592,080"
"LVS","Las Vegas Sands Corp","3.61%","$65.38","6,180,760"
"HLT","Hilton Worldwide Holdings Inc","3.62%","$269.67","1,584,770"
"PLD","Prologis Inc","3.66%","$122.83","3,077,050"
"TEVA","Teva Pharmaceutical Industries Ltd","3.68%","$25.41","18,429,880"
"DD","Dupont De Nemours Inc","3.69%","$39.71","10,810,490"
"CHRW","CH Robinson Worldwide Inc","3.72%","$152.80","1,579,580"
"CB","Chubb Ltd","3.72%","$295.49","1,517,780"
"NTRA","Natera Inc","3.74%","$204.28","1,635,390"
"GE","GE Aerospace","3.74%","$304.82","3,742,140"
"BAC","Bank of America Corp","3.80%","$52.61","38,762,090"
"SPG","Simon Property Group Inc","3.89%","$182.73","1,457,240"
"GSAT","Globalstar Inc","3.92%","$62.95","1,479,130"
"PPL","PPL Corp","3.93%","$36.76","5,473,620"
"SRE","Sempra","3.94%","$92.00","3,829,450"
